,vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
0,1,Tate McRae,greedy,1,14,16,33855816,False,13,Rất cao,Dài hạn
1,2,Xavi,La Diabla,2,17,4,30894083,False,15,Rất cao,Ngắn hạn
2,3,Jack Harlow,Lovin On Me,3,19,8,30778444,False,16,Rất cao,Trung hạn
3,4,Taylor Swift,Cruel Summer,2,20,48,30224692,False,16,Rất cao,Dài hạn
4,5,Mitski,My Love Mine All Mine,3,18,15,26430016,False,13,Rất cao,Dài hạn
5,6,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",6,28,13,25102523,False,22,Rất cao,Dài hạn
6,7,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),1,31,25,24932897,False,24,Rất cao,Dài hạn
7,8,Doja Cat,Paint The Town Red,1,37,22,23007926,False,29,Rất cao,Dài hạn
8,9,Xavi,La Víctima,9,40,6,22586881,False,31,Rất cao,Trung hạn
9,10,"Peso Pluma, Anitta",BELLAKEO,10,35,4,21934979,False,25,Rất cao,Ngắn hạn
10,11,Noah Kahan,Stick Season,11,47,13,20766879,False,36,Rất cao,Dài hạn
11,12,Tyla,Water,12,53,15,20253784,False,41,Rất cao,Dài hạn
12,13,Kenya Grace,Strangers,4,45,18,19944265,False,32,Rất cao,Dài hạn
13,14,"Bad Bunny, Feid",PERRO NEGRO,4,39,12,19940949,False,25,Rất cao,Trung hạn
14,15,"KAROL G, Peso Pluma",QLONA,5,36,21,19637213,False,21,Rất cao,Dài hạn
15,16,Jung Kook,Standing Next to You,1,49,9,19208564,False,33,Rất cao,Trung hạn
16,17,Arctic Monkeys,I Wanna Be Yours,15,41,78,19178677,False,24,Rất cao,Dài hạn
17,18,"Feid, ATL Jacob",LUNA,18,42,4,18756356,False,24,Rất cao,Ngắn hạn
18,19,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,16,43,18,18213631,False,24,Rất cao,Dài hạn
19,20,"Fuerza Regida, Marshmello",HARLEY QUINN,11,46,10,17844095,False,26,Rất cao,Trung hạn
20,21,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),16,68,31,17771360,False,47,Rất cao,Dài hạn
21,22,iñigo quintero,Si No Estás,1,44,15,17466144,False,22,Rất cao,Dài hạn
22,23,Olivia Rodrigo,vampire,1,62,27,17456781,False,39,Rất cao,Dài hạn
23,24,Doja Cat,Agora Hills,16,56,15,17162746,False,32,Rất cao,Dài hạn
24,25,Harry Styles,As It Was,1,77,92,16955059,False,52,Rất cao,Dài hạn
25,26,"The Weeknd, Daft Punk",Starboy,1,57,170,16863102,False,31,Rất cao,Dài hạn
26,27,SZA,Kill Bill,1,73,56,15913839,False,46,Rất cao,Dài hạn
27,28,Dua Lipa,Dance The Night - From Barbie The Album,5,111,32,15681385,False,83,Rất cao,Dài hạn
28,29,David Kushner,Daylight,5,69,38,15455473,False,40,Rất cao,Dài hạn
29,30,Miley Cyrus,Flowers,1,94,51,15413331,False,64,Rất cao,Dài hạn
30,31,"Maluma, Carin Leon",Según Quién,17,61,16,15371497,False,30,Rất cao,Dài hạn
31,32,"cassö, RAYE, D-Block Europe",Prada,17,107,20,15135602,False,75,Rất cao,Dài hạn
